Name,Alias
"[(2r)-3-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] tetradecanoate;sodium","14:0 lyso pg"
"16:0 lyso pg","16:0 lyso pg"
"1-hexadecanoyl-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)","16:0 lyso pg"
"1-palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)","16:0 lyso pg"
"[(2r)-3-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate;sodium","16:0 lyso pg"
"18:0 lyso pg","18:0 lyso pg"
"1-octadecanoyl-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)","18:0 lyso pg"
"1-stearoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)","18:0 lyso pg"
"[(2r)-3-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] octadecanoate;sodium","18:0 lyso pg"
"18:1 lyso pg","18:1 lyso pg"
"1-oleoy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)","18:1 lyso pg"
"1-oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt)","18:1 lyso pg"
"[(2r)-3-[2,3-dihydroxypropoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] (z)-octadec-9-enoate;sodium","18:1 lyso pg"
"1-butanol","1-butanol"
"1 butanol","1-butanol"
"butyl alcohol","1-butanol"
"n butanol","1-butanol"
"n-butanol","1-butanol"
"1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate","1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate"
"bmpyrrtfms","1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate"
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate","1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
"1-butyl-3-methylimidazolium chloride","1-butyl-3-methylimidazolium chloride"
"1-butyl-3-methylimidazolium dicyanamide","1-butyl-3-methylimidazolium dicyanamide"
"[bmim][dca]","1-butyl-3-methylimidazolium dicyanamide"
"1-butyl-3-methylimidazolium methylsulfate","1-butyl-3-methylimidazolium methylsulfate"
"1-butyl-3-methylimidazolium methyl sulfate","1-butyl-3-methylimidazolium methylsulfate"
"1-butyl-3-methylimidazolium octylsulfate","1-butyl-3-methylimidazolium octylsulfate"
"1-n-butyl-3-methylimidazolium n-octylsulfate","1-butyl-3-methylimidazolium octylsulfate"
"1-butyl-3-methylimidazolium tetrafluoroborate","1-butyl-3-methylimidazolium tetrafluoroborate"
"bmimbf4","1-butyl-3-methylimidazolium tetrafluoroborate"
"1-butyl-3-methylimidazolium trifluoroacetate","1-butyl-3-methylimidazolium trifluoroacetate"
"bmimtfa","1-butyl-3-methylimidazolium trifluoroacetate"
"1-butyl-3-methylimidazolium trifluoromethanesulfonate","1-butyl-3-methylimidazolium trifluoromethanesulfonate"
"bmitfms","1-butyl-3-methylimidazolium trifluoromethanesulfonate"
"1-butylpyridinium chloride","1-butylpyridinium chloride"
"1-ethyl-3-hydroxymethylpyridinium ethylsulfate","1-ethyl-3-hydroxymethylpyridinium ethylsulfate"
"1-ethyl-3-methylimidazolium acetate","1-ethyl-3-methylimidazolium acetate"
"1-ethyl-3-methylimidazolium chloride","1-ethyl-3-methylimidazolium chloride"
"emici","1-ethyl-3-methylimidazolium chloride"
"1-ethyl-3-methylimidazolium ethylsulfate","1-ethyl-3-methylimidazolium ethylsulfate"
"1-ethyl-3-methylimidazolium ethyl sulfate","1-ethyl-3-methylimidazolium ethylsulfate"
"1-ethyl-3-methylimidazolium tetrafluoroborate","1-ethyl-3-methylimidazolium tetrafluoroborate"
"1-ethyl-3-methylimidazolium thiocyanate","1-ethyl-3-methylimidazolium thiocyanate"
