name
cacodylate
hexammine
neodymium
erbium
strontium
fluoride
lithium
phosphate
cyanate
molybdenum
osmium
formate
terbium
praseodymium
thiocyanate
lutetium
selenium
tungsten
iodide
cobalt
zinc
potassium
nickel
yttrium
ammonium
acetate
sulfate
rhenium
beryllium
succinate
gadolinium
nitrate
maleate
mangenese
samarium
barium
chromium
rubidium
aluminium
magnesium
iron
holmium
europium
cesium
mercury
malate
citrate
tantalum
copper
manganate
malonate
ruthenium
hydrogen
calcium
tartrate
chloride
perchlorate
sodium
yytterbium
cadmium
lanthanum
